XRX,2019-11-04 00:00:00,2019-11-06 00:00:00,24.64,27.51,153,439.67,1,0.11664,1.000,0.467,0.700,0.800,1.000,0.700,0.500,1.000,2
XRX,2019-11-07 00:00:00,2019-11-14 00:00:00,28.02,27.85,135,-22.88,0,-0.00605,1.000,0.817,0.700,0.800,1.000,0.700,0.500,1.000,4
XRX,2019-11-15 00:00:00,2019-11-19 00:00:00,28.76,29.01,132,33.07,1,0.00871,1.000,1.000,0.700,0.500,1.000,0.300,0.595,1.000,1
AEYE,2019-07-01 00:00:00,2019-07-08 00:00:00,7.66,7.46,503,-100.60,0,-0.02611,1.000,1.000,0.700,0.800,1.000,0.500,0.500,1.000,3
AEYE,2019-10-24 00:00:00,2019-10-30 00:00:00,3.18,3.32,1206,168.84,1,0.04403,1.000,1.000,0.900,0.800,1.000,0.700,0.500,0.500,3
AEYE,2019-11-26 00:00:00,2019-12-02 00:00:00,5.50,5.02,733,-351.84,0,-0.08727,1.000,0.637,0.700,0.800,0.922,0.700,0.500,1.000,2
AEYE,2020-01-13 00:00:00,2020-01-15 00:00:00,4.92,5.02,812,81.20,1,0.02033,1.000,1.000,0.900,0.800,1.000,0.500,0.500,0.500,1
MVIS,2019-04-18 00:00:00,2019-04-23 00:00:00,1.03,0.91,3891,-483.60,0,-0.12067,1.000,0.938,0.700,0.800,1.000,1.000,0.500,1.000,2
MVIS,2019-06-21 00:00:00,2019-06-25 00:00:00,0.81,0.79,4991,-99.82,0,-0.02469,1.000,1.000,0.700,0.800,1.000,0.300,0.500,1.000,1
MVIS,2019-07-11 00:00:00,2019-07-16 00:00:00,0.86,0.88,4676,93.52,1,0.02326,1.000,0.775,0.700,0.800,0.968,0.300,0.500,1.000,2
MVIS,2019-10-29 00:00:00,2019-10-31 00:00:00,0.72,0.75,5669,170.07,1,0.04167,1.000,1.000,0.900,0.800,1.000,0.300,0.500,1.000,1
MVIS,2019-11-14 00:00:00,2019-11-21 00:00:00,0.76,0.87,5357,589.27,1,0.14474,1.000,1.000,0.900,0.800,0.802,1.000,0.500,1.000,4
MVIS,2019-11-26 00:00:00,2019-11-29 00:00:00,0.84,0.82,4908,-98.16,0,-0.02381,1.000,1.000,0.700,0.800,0.922,0.300,0.500,1.000,1
CSIQ,2019-06-18 00:00:00,2019-06-24 00:00:00,21.61,22.14,190,100.70,1,0.02453,1.000,1.000,0.700,0.800,1.000,0.300,0.500,1.000,3
CSIQ,2019-08-16 00:00:00,2019-08-23 00:00:00,23.48,23.48,175,0.00,0,0.00000,1.000,1.000,0.700,0.500,1.000,1.000,0.500,1.000,4
UCTT,2019-04-04 00:00:00,2019-04-09 00:00:00,11.39,11.46,364,25.48,1,0.00615,1.000,1.000,0.700,0.800,1.000,0.300,0.500,1.000,2
UCTT,2019-04-10 00:00:00,2019-04-17 00:00:00,11.17,12.42,371,462.69,1,0.11165,1.000,1.000,0.700,0.800,1.000,0.300,0.500,1.000,5
